"analysis_id","dataset","run_id","ontology","result_type","contrast","comparison","route_category","route_unit","condition","direction","simplified","plot_suffix","used_for_plot","input_gene_file","input_hash","config_file","config_hash","output_table","output_plot","n_genes","n_terms","empty_result","checkpoint_status","created_at"
"clusterProfiler::NA::GSEA_GO::BP::CA1sosus_CA1sores",NA,"20260526_150117","BP","GSEA_GO","CA1sosus_CA1sores","CA1sosus_CA1sores","phenotype_within_unit","CA1_so",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1sosus_CA1sores.csv","1ee5bbdf6e84397274c24c5bede627aa","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_so/CA1sosus_CA1sores_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_so/CA1sosus_CA1sores/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:23:39 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1sosus_CA1sores",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1sosus_CA1sores","CA1sosus_CA1sores","phenotype_within_unit","CA1_so",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1sosus_CA1sores.csv","1ee5bbdf6e84397274c24c5bede627aa","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_so/CA1sosus_CA1sores_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_so/CA1sosus_CA1sores/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:25:04 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA1srres_CA1srcon",NA,"20260526_150117","BP","GSEA_GO","CA1srres_CA1srcon","CA1srres_CA1srcon","phenotype_within_unit","CA1_sr",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1srres_CA1srcon.csv","584bc4c649181475f8079017d3d722df","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_sr/CA1srres_CA1srcon_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_sr/CA1srres_CA1srcon/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:13:56 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1srres_CA1srcon",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1srres_CA1srcon","CA1srres_CA1srcon","phenotype_within_unit","CA1_sr",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1srres_CA1srcon.csv","584bc4c649181475f8079017d3d722df","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_sr/CA1srres_CA1srcon_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_sr/CA1srres_CA1srcon/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:17:07 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA1srsus_CA1srcon",NA,"20260526_150117","BP","GSEA_GO","CA1srsus_CA1srcon","CA1srsus_CA1srcon","phenotype_within_unit","CA1_sr",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1srsus_CA1srcon.csv","82fdb96e27385fc48b58d4e03daab953","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_sr/CA1srsus_CA1srcon_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_sr/CA1srsus_CA1srcon/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:15:13 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1srsus_CA1srcon",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1srsus_CA1srcon","CA1srsus_CA1srcon","phenotype_within_unit","CA1_sr",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1srsus_CA1srcon.csv","82fdb96e27385fc48b58d4e03daab953","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_sr/CA1srsus_CA1srcon_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_sr/CA1srsus_CA1srcon/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:18:16 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA1srsus_CA1srres",NA,"20260526_150117","BP","GSEA_GO","CA1srsus_CA1srres","CA1srsus_CA1srres","phenotype_within_unit","CA1_sr",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1srsus_CA1srres.csv","f8935236428cc872f3b5fdb625f2cb88","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_sr/CA1srsus_CA1srres_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_sr/CA1srsus_CA1srres/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:14:06 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1srsus_CA1srres",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1srsus_CA1srres","CA1srsus_CA1srres","phenotype_within_unit","CA1_sr",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1srsus_CA1srres.csv","f8935236428cc872f3b5fdb625f2cb88","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_sr/CA1srsus_CA1srres_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_sr/CA1srsus_CA1srres/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:17:08 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA2slmres_CA2slmcon",NA,"20260526_150117","BP","GSEA_GO","CA2slmres_CA2slmcon","CA2slmres_CA2slmcon","phenotype_within_unit","CA2_slm",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA2slmres_CA2slmcon.csv","3585c00d627d5ca3053d9f80e8ebbe06","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA2_slm/CA2slmres_CA2slmcon_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA2_slm/CA2slmres_CA2slmcon/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:16:08 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA2slmres_CA2slmcon",NA,"20260526_150117","KEGG","GSEA_KEGG","CA2slmres_CA2slmcon","CA2slmres_CA2slmcon","phenotype_within_unit","CA2_slm",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA2slmres_CA2slmcon.csv","3585c00d627d5ca3053d9f80e8ebbe06","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA2_slm/CA2slmres_CA2slmcon_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA2_slm/CA2slmres_CA2slmcon/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:18:26 +0200"
