"comparison","status","runtime_seconds","n_input_rows","n_non_na_log2fc","n_unique_gene_ids","n_top_genes","n_background_universe","n_id_mapped_uniprot_to_entrez","n_gsea_terms","n_ora_terms","n_kegg_terms"
"CA1slmres_CA1slmcon","ERROR",957.50897693634,5017,5017,5017,64,0,4952,3690,1297,293
"CA1slmsus_CA1slmcon","ERROR",1247.90500998497,5017,5017,5017,81,0,4952,3690,1618,293
"CA1slmsus_CA1slmres","ERROR",1407.69266104698,5017,5017,5017,59,0,4952,3690,1233,293
"CA1sores_CA1socon","ERROR",1356.73430895805,5017,5017,5017,66,0,4952,3690,1424,293
"CA1sosus_CA1socon","ERROR",1423.24203014374,5017,5017,5017,31,0,4952,3690,818,293
"CA1sosus_CA1sores","ERROR",1429.86494684219,5017,5017,5017,74,0,4952,3690,1459,293
"CA1srres_CA1srcon","ERROR",956.879620075226,5017,5017,5017,63,0,4952,3690,1185,293
"CA1srsus_CA1srcon","ERROR",1017.7366540432,5017,5017,5017,53,0,4952,3690,1227,293
"CA1srsus_CA1srres","ERROR",956.807076931,5017,5017,5017,78,0,4952,3690,1505,293
"CA2slmres_CA2slmcon","ERROR",1027.10317993164,5017,5017,5017,66,0,4952,3690,1216,293
"CA2slmsus_CA2slmcon","ERROR",1430.22370100021,5017,5017,5017,84,0,4952,3689,1512,293
"CA2slmsus_CA2slmres","ERROR",1260.7162899971,5017,5017,5017,122,0,4952,3685,1903,293
"CA2sores_CA2socon","ERROR",1050.40474295616,5017,5017,5017,56,0,4952,3690,1241,293
"CA2sosus_CA2socon","ERROR",1416.79667901993,5017,5017,5017,68,0,4952,3690,1564,293
"CA2sosus_CA2sores","ERROR",1318.0862262249,5017,5017,5017,60,0,4952,3690,1434,293
"CA2srres_CA2srcon","ERROR",1244.42085814476,5017,5017,5017,55,0,4952,3690,1004,293
"CA2srsus_CA2srcon","ERROR",1387.14675617218,5017,5017,5017,111,0,4952,3690,1786,293
"CA2srsus_CA2srres","ERROR",1416.54058098793,5017,5017,5017,96,0,4952,3690,1619,293
"CA3sores_CA3socon","ERROR",956.224624872208,5017,5017,5017,39,0,4952,3690,916,293
"CA3sosus_CA3socon","ERROR",987.30099105835,5017,5017,5017,38,0,4952,3690,709,293
"CA3sosus_CA3sores","ERROR",1417.95340800285,5017,5017,5017,51,0,4952,3690,854,293
"CA3srres_CA3srcon","ERROR",1384.34005308151,5017,5017,5017,40,0,4952,3690,822,293
"CA3srsus_CA3srcon","ERROR",1436.89959311485,5017,5017,5017,38,0,4952,3690,930,293
"CA3srsus_CA3srres","ERROR",956.217764854431,5017,5017,5017,76,0,4952,3690,1301,293
"DGmores_DGmocon","ERROR",1351.31984090805,5017,5017,5017,51,0,4952,3690,1093,293
"DGmosus_DGmocon","ERROR",974.969546079636,5017,5017,5017,38,0,4952,3690,783,293
"DGmosus_DGmores","ERROR",1415.31954407692,5017,5017,5017,56,0,4952,3690,1086,293
"DGpores_DGpocon","ERROR",1383.6767539978,5017,5017,5017,66,0,4952,3690,1283,293
"DGposus_DGpocon","ERROR",933.996758937836,5017,5017,5017,49,0,4952,3690,1112,293
"DGposus_DGpores","ERROR",1030.849214077,5017,5017,5017,98,0,4952,3688,1740,293
