"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","CombZ","final_group","experimental_condition","n_components_present","classification_rule_id","n_control","control_reference_mean","control_reference_population_sd","susceptibility_threshold","sd_convention","in_early_window_analysis_set"
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ765","Male",-0.271338741565108,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR126","Male",0.794444012299231,"CON","CON",5,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR127","Male",0.805560084381998,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR128","Male",0.572523097218762,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR129","Male",0.0284113054492268,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR621","Male",-0.0872290946034614,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR622","Male",-0.17326587042767,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR623","Male",-0.607387675114655,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR624","Male",-0.11628042277671,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","1","Male",-0.343198281444205,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",FALSE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","13857","Male",0.12313211444803,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","2","Male",0.379547402451721,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",FALSE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","3","Male",0.450655267760721,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","304","Male",-0.333430326212357,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","310","Male",0.00650819487809573,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","314","Male",0.164251883787188,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","318","Male",-0.265290178887837,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ750","Male",-0.388548973266421,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",FALSE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ751","Male",-0.130924670667223,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",FALSE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ752","Male",-0.411466369776875,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",FALSE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ762","Male",-0.213269762173186,"RES","SIS",5,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ772","Male",-0.0708303837557376,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ773","Male",-0.265888969865684,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR104","Male",1.11279258795434,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR105","Male",0.281482068579031,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR106","Male",0.116652997978808,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR112","Male",0.491219818112991,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR120","Male",0.0178512517968418,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR122","Male",1.05739617912031,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR130","Male",0.590263662685027,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR131","Male",0.595364775612003,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR134","Male",-0.42633571795095,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR135","Male",0.781922056997101,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR138","Male",0.234467880404653,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR139","Male",1.26774708093852,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR140","Male",1.08703785401613,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR141","Male",1.6495714850694,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR629","Male",0.102289448433373,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR630","Male",0.198183097948441,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","13856","Male",-0.443530298857735,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","303","Male",-0.611090311347931,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","313","Male",-1.4204248723118,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","317","Male",-1.29290712469666,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","319","Male",-0.571812546855905,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","4","Male",-0.624988958625248,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ753","Male",-0.607508693258094,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",FALSE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ754","Male",-0.934693581486834,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ755","Male",-0.535143253547445,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ764","Male",-0.931782489857225,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ770","Male",-0.627260518022955,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ771","Male",-0.889499247134719,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR111","Male",-0.567979315226475,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR113","Male",-0.483598958828872,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR620","Male",-1.03462253634006,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR625","Male",-0.446270381284236,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR628","Male",-0.531626239720073,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0110339446152672,0.447675642785046,-0.436641698169779,"population SD (n divisor), matching Excel STDEVPA",TRUE
