"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","CombZ","final_group","experimental_condition","n_components_present","classification_rule_id","n_control","control_reference_mean","control_reference_population_sd","susceptibility_threshold","sd_convention","in_early_window_analysis_set"
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","691","Female",0.997374837618719,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","692","Female",0.867560857620985,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","693","Female",0.800127871054696,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","694","Female",0.959080987347652,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","695","Female",0.453129558627427,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","696","Female",0.155378688315626,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR419","Female",0.652539690649005,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR425","Female",0.16902908407461,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR429","Female",0.0207054696568086,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR437","Female",0.226528359990831,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
