"writer","consumer_file","dependency_kind"
"annotate_module_microenvironment","analysis/integration/render_module_circular_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/render_module_circular_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/render_module_circular_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/render_module_circular_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/render_module_circular_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/render_module_circular_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_module_cross_compartment.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_module_cross_compartment.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_module_cross_compartment.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_module_cross_compartment.R","INDIRECT_READER_VIA_HELPER"
