"path","ext","parsed","ncol","nrow","note"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_neuropil_program_summary_heatmap.csv","csv",TRUE,21,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_neuropil_program_summary_integra.csv","csv",TRUE,32,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_neuropil_program_summary_microgl.csv","csv",TRUE,25,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_neuropil_program_summary_neuropi.csv","csv",TRUE,25,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_empirical_microglia_enriche.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_empirical_microglia_signatu.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_empirical_neuropil_shared_s.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_microglia_signature_diagnos.csv","csv",TRUE,3,4,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_microglia_signatu__022b1ccc.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_microglia_signatu__1244aa35.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_microglia_signature_enrichm.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_mixed_microenvironment_sign.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_program_summary_heatmap_rea.csv","csv",TRUE,21,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_program_summary_integrated_.csv","csv",TRUE,32,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_program_summary_microglia_s.csv","csv",TRUE,25,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_neuron_soma_program_summary_neuropil_an.csv","csv",TRUE,25,50,""
