"path","name","area","role","classification","registered_in_pipeline","declared_outputs","writes_publication_source_data","code_callers","test_references","listed_as_legacy","human_invoked_entrypoint","documented_in_docs"
"audits/publication_hardening/03_statistical_contract_doc.R","03_statistical_contract_doc.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,2,0,FALSE,TRUE,TRUE
"audits/publication_hardening/04_architecture_inventory.R","04_architecture_inventory.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/publication_hardening/05_output_and_layer_review.R","05_output_and_layer_review.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/publication_hardening/06_target_structure_and_risk.R","06_target_structure_and_risk.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/publication_hardening/07_ph002_language_scan.R","07_ph002_language_scan.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/publication_hardening/08_ph002_delta_audit.R","08_ph002_delta_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/publication_hardening/09_verification_state.R","09_verification_state.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,2,0,FALSE,TRUE,TRUE
"audits/publication_hardening/10_manuscript_provenance.R","10_manuscript_provenance.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/publication_hardening/11_manuscript_phase2_contracts.R","11_manuscript_phase2_contracts.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/publication_hardening/12_manuscript_phase2_reviews.R","12_manuscript_phase2_reviews.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/spatial/spatial_v6_baseline_profile.R","spatial_v6_baseline_profile.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/verify_scientific_contracts.R","verify_scientific_contracts.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/wgcna/proteomics_wgcna_downstream_audit.R","proteomics_wgcna_downstream_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,5,0,TRUE,TRUE,TRUE
"analysis/differential_abundance/annotate_neuropil_reference.R","annotate_neuropil_reference.R","differential_abundance","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,11,3,FALSE,TRUE,TRUE
"analysis/differential_abundance/audit_gsea_protein_direction.R","audit_gsea_protein_direction.R","differential_abundance","AUDIT","CANONICAL_ENTRYPOINT",TRUE,5,FALSE,10,1,FALSE,FALSE,TRUE
