"old_path","new_path","old_sha256","new_sha256","owner","consumers_updated","migration_class"
"results/publication_source_data/extended_data_01/assembled/extended_data_01.svg","exports/publication_source_data/extended_data_01/assembled/extended_data_01.svg","f1c32750925ff5cca372dac0cb156af03ae82a52b98b73b10a55320b5554912c","f1c32750925ff5cca372dac0cb156af03ae82a52b98b73b10a55320b5554912c","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_01/extended_data_01a_source_data.csv","exports/publication_source_data/extended_data_01/extended_data_01a_source_data.csv","0eaa2e88716f4c913af2e5c39cb2c0b273e2a3bb7679fab2b3be462ff837b4f9","0eaa2e88716f4c913af2e5c39cb2c0b273e2a3bb7679fab2b3be462ff837b4f9","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_01/extended_data_01b_source_data.csv","exports/publication_source_data/extended_data_01/extended_data_01b_source_data.csv","299c8a71c7dd7e719a6bcd6e0925aac59db91d10c927be9dcb552b64a25a91bc","299c8a71c7dd7e719a6bcd6e0925aac59db91d10c927be9dcb552b64a25a91bc","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_02/assembled/extended_data_02.svg","exports/publication_source_data/extended_data_02/assembled/extended_data_02.svg","cafed525c60329d09f6750657dbc57d4b79a8d7614c40869a6d6bae4391bf16c","cafed525c60329d09f6750657dbc57d4b79a8d7614c40869a6d6bae4391bf16c","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_02/extended_data_02a_source_data.csv","exports/publication_source_data/extended_data_02/extended_data_02a_source_data.csv","244bcc5145e8fdf75f82300e6c8111881e7a5916078f778642c6e9c37c18db64","244bcc5145e8fdf75f82300e6c8111881e7a5916078f778642c6e9c37c18db64","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_02/extended_data_02b_source_data.csv","exports/publication_source_data/extended_data_02/extended_data_02b_source_data.csv","a96f164e1f8956aed746c8980e86995ff02099163d005f0dd9714386da411c2c","a96f164e1f8956aed746c8980e86995ff02099163d005f0dd9714386da411c2c","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_03/assembled/extended_data_03.svg","exports/publication_source_data/extended_data_03/assembled/extended_data_03.svg","efa6303c691a8098b1894ea9b6a7d291270bd3239c7335e8db7cfc16422ad559","efa6303c691a8098b1894ea9b6a7d291270bd3239c7335e8db7cfc16422ad559","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_03/extended_data_03a_source_data.csv","exports/publication_source_data/extended_data_03/extended_data_03a_source_data.csv","e5df23c04a6198830409d8d69162cc2da32e153ef3b6eca89de5af3f5bb635bd","e5df23c04a6198830409d8d69162cc2da32e153ef3b6eca89de5af3f5bb635bd","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_03/extended_data_03b_source_data.csv","exports/publication_source_data/extended_data_03/extended_data_03b_source_data.csv","7c1c34b814e7ea3b39d9ed67e186b7b27b177cae0c85e86c987ad15324844a15","7c1c34b814e7ea3b39d9ed67e186b7b27b177cae0c85e86c987ad15324844a15","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_03/extended_data_03c_source_data.csv","exports/publication_source_data/extended_data_03/extended_data_03c_source_data.csv","a310b293d240345c9593f38dec0ded8544c47c5d4cbdde7b38fa0cac08ddf1f6","a310b293d240345c9593f38dec0ded8544c47c5d4cbdde7b38fa0cac08ddf1f6","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_03/extended_data_03d_source_data.csv","exports/publication_source_data/extended_data_03/extended_data_03d_source_data.csv","f0f419328fc7a178a5b4291fb19f712ca29e06646ed49fea047cea2e7e480495","f0f419328fc7a178a5b4291fb19f712ca29e06646ed49fea047cea2e7e480495","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
