"old_path","expected_path","current_suffix","expected_extension","producer","evidence","current_hash","bytes","collision","destination_exists","action"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_direction_summary.c","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_direction_summary.c.csv",".c","csv","analysis/publication_source_data/build_supplementary_tables.R","reconstruction: 96-char cut of the raw name built from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_direction_summary.csv","829c728112c49a37c1abc9aa35ce8f8334d4b112ca40da280fc1c2065607231e",1919,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__022b1ccc","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__022b1ccc.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/microglia_signature_enrichment_summary.csv') = 022b1ccc (source extension .csv)","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",80,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__1244aa35","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__1244aa35.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/microglia_signature_enrichment_with_neuropil_reference.csv') = 1244aa35 (source extension .csv)","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",80,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__3ec3c4fd","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__3ec3c4fd.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_summary.csv') = 3ec3c4fd (source extension .csv)","e51eab6a0cb50544f14dc20df4effa71639905d7b7b1b825c21e135207991f7b",6284,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__96e19466","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__96e19466.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_with_neuropil_reference.csv') = 96e19466 (source extension .csv)","2bb7d91187ffe58674dc69808becb8cbf914a1d1bffca7bbb0b2c31d442a3fd7",759697,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichment_with_con","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichment_with_con.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","reconstruction: 96-char cut of the raw name built from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_enrichment_with_contrast_class.csv","c5a38660d022f8e25e6b06628aed487894ea2a61cf07beddc914350176f7ce2c",880593,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_interpretation_summ","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_interpretation_summ.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","reconstruction: 96-char cut of the raw name built from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_interpretation_summary.csv","e3345382b7b79a7e3d5c6a67d2117f0474797a3f284848706bed16ae7892c0a8",8810,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_leading_edge_recurr","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_leading_edge_recurr.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","reconstruction: 96-char cut of the raw name built from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_leading_edge_recurrence.csv","821a76a1c2011e72133459dd45c59a67bc660c7240e902e4189b89983526dc05",3658926,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_regional_pooled_sum","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_regional_pooled_sum.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","reconstruction: 96-char cut of the raw name built from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_regional_pooled_summary.csv","f17b7292f95533421d29d9cb2b51bf73dab9424caa20f9ed9208fa69ac98961a",22007,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_unclassified_techni","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_unclassified_techni.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","reconstruction: 96-char cut of the raw name built from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_unclassified_technical.csv","5783ada3e5f3593b97c9d0955052471a874f6084e5cd0a49cd1b22b01b398082",995,FALSE,FALSE,"rename_in_place"
