"domain","analysis_id","entrypoint","canonical_output","n_declared_outputs","actual_resolved_write_root","expected_write_root","n_layout_api_calls","n_legacy_writes","legacy_write","declared_normalized","migration_status"
"wgcna","annotate_module_microenvironment","analysis/wgcna/annotate_module_microenvironment.R","results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_biological_annotation.csv | results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_supermodule_biological_annotation.csv | results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_targeted_signature_overlap_details.csv",3,"results/wgcna/annotate_module_microenvironment/","results/wgcna/annotate_module_microenvironment/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","audit_module_claim_readiness","analysis/wgcna/audit_module_claim_readiness.R","results/wgcna/audit_module_claim_readiness/microglia/tables/WGCNA_entity_claim_readiness.csv | results/wgcna/audit_module_claim_readiness/microglia/tables/source_data/WGCNA_entity_claim_readiness_source.csv",2,"results/wgcna/audit_module_claim_readiness/","results/wgcna/audit_module_claim_readiness/",2,0,FALSE,TRUE,"MIGRATED"
"wgcna","audit_module_label_coherence","analysis/wgcna/audit_module_label_coherence.R","results/wgcna/audit_module_label_coherence/<dataset>/tables/WGCNA_module_label_coherence_audit.csv | results/wgcna/audit_module_label_coherence/<dataset>/tables/WGCNA_supermodule_label_coherence_audit.csv | results/wgcna/audit_module_label_coherence/<dataset>/tables/WGCNA_label_supporting_proteins.csv",5,"results/wgcna/audit_module_label_coherence/","results/wgcna/audit_module_label_coherence/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","audit_module_robustness","analysis/wgcna/audit_module_robustness.R","results/wgcna/audit_module_robustness/<dataset>/tables/module_robustness_sensitivity.csv | results/wgcna/audit_module_robustness/<dataset>/tables/source_data/module_robustness_sensitivity.csv | results/wgcna/audit_module_robustness/<dataset>/manifests/run_manifest.yml",3,"results/wgcna/audit_module_robustness/","results/wgcna/audit_module_robustness/",3,0,FALSE,TRUE,"MIGRATED"
"wgcna","build_curated_overlap_programs","analysis/wgcna/build_curated_overlap_programs.R","results/wgcna/build_curated_overlap_programs/global/tables",1,"results/wgcna/build_curated_overlap_programs/","results/wgcna/build_curated_overlap_programs/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","build_module_identity_contract","analysis/wgcna/build_module_identity_contract.R","results/wgcna/build_module_identity_contract/<dataset>/tables | results/wgcna/build_module_identity_contract/<dataset>/tables/source_data | results/wgcna/build_module_identity_contract/<dataset>/reports",4,"results/wgcna/build_module_identity_contract/","results/wgcna/build_module_identity_contract/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","build_module_label_registry","analysis/wgcna/build_module_label_registry.R","results/wgcna/build_module_label_registry/global/tables/WGCNA_final_label_approval_table.csv | results/wgcna/build_module_label_registry/global/tables/WGCNA_canonical_display_label_resolution.csv | results/wgcna/build_module_label_registry/global/tables/WGCNA_label_activation_rules.csv",5,"results/wgcna/build_module_label_registry/","results/wgcna/build_module_label_registry/",2,0,FALSE,TRUE,"MIGRATED"
"wgcna","build_wgcna_modules","analysis/wgcna/build_wgcna_modules.R","results/wgcna/build_wgcna_modules/<dataset>/tables/modules | results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv | results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_summary.csv",7,"results/wgcna/build_wgcna_modules/","results/wgcna/build_wgcna_modules/",2,0,FALSE,TRUE,"MIGRATED"
"wgcna","compare_module_enrichment_overlap","analysis/wgcna/compare_module_enrichment_overlap.R","results/wgcna/compare_module_enrichment_overlap/<dataset>/tables",1,"results/wgcna/compare_module_enrichment_overlap/","results/wgcna/compare_module_enrichment_overlap/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","compare_recurrent_module_proteins","analysis/wgcna/compare_recurrent_module_proteins.R","results/wgcna/compare_recurrent_module_proteins/<dataset>/tables/recurrent_top_gene_drivers/overlapping_proteins_min3_spatial_units.xlsx",1,"results/wgcna/compare_recurrent_module_proteins/","results/wgcna/compare_recurrent_module_proteins/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","render_microglia_independence_figures","analysis/wgcna/render_microglia_independence_figures.R","results/wgcna/render_microglia_independence_figures/microglia/plots | results/wgcna/render_microglia_independence_figures/microglia/tables/source_data",2,"results/wgcna/render_microglia_independence_figures/","results/wgcna/render_microglia_independence_figures/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","render_microglia_module_figures","analysis/wgcna/render_microglia_module_figures.R","results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_architecture.svg | results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_architecture.pdf | results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_global_eigengenes.svg",24,"results/wgcna/render_microglia_module_figures/","results/wgcna/render_microglia_module_figures/",2,0,FALSE,TRUE,"MIGRATED"
"wgcna","render_module_figures","analysis/wgcna/render_module_figures.R","results/wgcna/render_module_figures/microglia/plots/all_supermodule_architecture.svg | results/wgcna/render_module_figures/microglia/plots/all_supermodule_global_eigengenes.svg | results/wgcna/render_module_figures/microglia/plots/all_supermodule_sus_res_forest.svg",7,"results/wgcna/render_module_figures/","results/wgcna/render_module_figures/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","render_module_go_heatmaps","analysis/wgcna/render_module_go_heatmaps.R","results/wgcna/render_module_go_heatmaps/<dataset>/tables | results/wgcna/render_module_go_heatmaps/<dataset>/plots",2,"results/wgcna/render_module_go_heatmaps/","results/wgcna/render_module_go_heatmaps/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","score_module_activity","analysis/wgcna/score_module_activity.R","results/wgcna/score_module_activity/<dataset>/tables",1,"results/wgcna/score_module_activity/","results/wgcna/score_module_activity/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","summarize_microglia_roi_specificity","analysis/wgcna/summarize_microglia_roi_specificity.R","results/wgcna/summarize_microglia_roi_specificity/microglia/tables | results/wgcna/summarize_microglia_roi_specificity/microglia/tables/source_data | results/wgcna/summarize_microglia_roi_specificity/microglia/plots",6,"results/wgcna/summarize_microglia_roi_specificity/","results/wgcna/summarize_microglia_roi_specificity/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","summarize_module_complex_architecture","analysis/wgcna/summarize_module_complex_architecture.R","results/wgcna/summarize_module_complex_architecture/<dataset>/tables/module_complex_architecture.csv | results/wgcna/summarize_module_complex_architecture/<dataset>/tables/source_data/module_complex_architecture.csv | results/wgcna/summarize_module_complex_architecture/<dataset>/manifests/run_manifest.yml",3,"results/wgcna/summarize_module_complex_architecture/","results/wgcna/summarize_module_complex_architecture/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","summarize_module_interpretation","analysis/wgcna/summarize_module_interpretation.R","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_interpretable_summary.xlsx | results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_label_candidates.csv | results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_final_label_lookup.csv",4,"results/wgcna/summarize_module_interpretation/","results/wgcna/summarize_module_interpretation/",4,0,FALSE,TRUE,"MIGRATED"
"wgcna","summarize_module_scores","analysis/wgcna/summarize_module_scores.R","results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_effect_heatmap_<dataset>_wgcna_primary_all_replicates.svg | results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_effect_heatmap_<dataset>_wgcna_sensitivity.svg | results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_correlation_<dataset>_wgcna_primary_all_replicates.svg",7,"results/wgcna/summarize_module_scores/","results/wgcna/summarize_module_scores/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","test_microglia_neuropil_independence","analysis/wgcna/test_microglia_neuropil_independence.R","results/wgcna/test_microglia_neuropil_independence/microglia/tables/microglia_neuropil_independence_effects.csv | results/wgcna/test_microglia_neuropil_independence/microglia/tables/microglia_module_neuropil_independence_classification.csv | results/wgcna/test_microglia_neuropil_independence/microglia/tables/WGCNA_module_inferential_handoff_with_neuropil_independence.csv",5,"results/wgcna/test_microglia_neuropil_independence/","results/wgcna/test_microglia_neuropil_independence/",5,0,FALSE,TRUE,"MIGRATED"
"wgcna","test_module_phenotypes","analysis/wgcna/test_module_phenotypes.R","results/wgcna/test_module_phenotypes/<dataset>/tables/module_group_effects.csv | results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_group_effects.csv | results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_composition.csv",19,"results/wgcna/test_module_phenotypes/","results/wgcna/test_module_phenotypes/",1,0,FALSE,TRUE,"MIGRATED"
