"domain","analysis_id","entrypoint","canonical_output","n_declared_outputs","actual_resolved_write_root","expected_write_root","n_layout_api_calls","n_legacy_writes","legacy_write","declared_normalized","migration_status"
"integration","summarize_programs_for_manuscript","analysis/integration/summarize_programs_for_manuscript.R","results/integration/summarize_programs_for_manuscript/global/tables/manuscript_program_summary.csv | results/integration/summarize_programs_for_manuscript/global/tables/source_data/manuscript_program_summary.csv | results/integration/summarize_programs_for_manuscript/global/manifests/run_manifest.yml",3,"results/integration/summarize_programs_for_manuscript/","results/integration/summarize_programs_for_manuscript/",1,0,FALSE,TRUE,"MIGRATED"
"integration","test_behaviour_proteomics_associations","analysis/integration/test_behaviour_proteomics_associations.R","results/integration/test_behaviour_proteomics_associations/global/plots/Figure3_AUC_vs_Proteomics.svg | results/integration/test_behaviour_proteomics_associations/global/plots/SourceData_Figure3_Correlation.csv | results/integration/test_behaviour_proteomics_associations/global/tables/join_diagnostics_summary.csv",3,"results/integration/test_behaviour_proteomics_associations/","results/integration/test_behaviour_proteomics_associations/",1,0,FALSE,TRUE,"MIGRATED"
"integration","test_enrichment_module_concordance","analysis/integration/test_enrichment_module_concordance.R","results/integration/test_enrichment_module_concordance/global/tables/gsea_wgcna_concordance_long.csv | results/integration/test_enrichment_module_concordance/global/tables/gsea_wgcna_concordance_summary.csv | results/integration/test_enrichment_module_concordance/global/tables/adaptive_resilience_pattern_summary.csv",10,"results/integration/test_enrichment_module_concordance/","results/integration/test_enrichment_module_concordance/",1,0,FALSE,TRUE,"MIGRATED"
"integration","test_module_behaviour_coupling","analysis/integration/test_module_behaviour_coupling.R","results/integration/test_module_behaviour_coupling/<dataset>/tables/module_behavior_coupling.csv | results/integration/test_module_behaviour_coupling/<dataset>/tables/source_data/module_behavior_coupling.csv | results/integration/test_module_behaviour_coupling/<dataset>/manifests/run_manifest.yml",3,"results/integration/test_module_behaviour_coupling/","results/integration/test_module_behaviour_coupling/",1,0,FALSE,TRUE,"MIGRATED"
"integration","test_network_behaviour_coupling","analysis/integration/test_network_behaviour_coupling.R","results/integration/test_network_behaviour_coupling/global/tables | results/integration/test_network_behaviour_coupling/global/plots",2,"results/integration/test_network_behaviour_coupling/","results/integration/test_network_behaviour_coupling/",1,0,FALSE,TRUE,"MIGRATED"
"preprocessing","build_joint_protigy_input","analysis/preprocessing/build_joint_protigy_input.R","results/preprocessing/build_joint_protigy_input/global/models/joint_compartment_qc_matrices.rds | results/preprocessing/build_joint_protigy_input/global/tables/feature_filter_audit.csv | results/preprocessing/build_joint_protigy_input/global/models/joint_shared_core_log2_median_normalized_imputed.gct",4,"results/preprocessing/build_joint_protigy_input/","results/preprocessing/build_joint_protigy_input/",1,0,FALSE,TRUE,"MIGRATED"
"preprocessing","build_module_score_metadata","analysis/preprocessing/build_module_score_metadata.R","results/preprocessing/build_module_score_metadata/<dataset>/tables/sample_metadata_merged_clean_for_module_scores.xlsx | results/preprocessing/build_module_score_metadata/<dataset>/tables/metadata_merge_qc_summary.csv | results/preprocessing/build_module_score_metadata/<dataset>/manifests/run_manifest.yml",4,"results/preprocessing/build_module_score_metadata/","results/preprocessing/build_module_score_metadata/",1,0,FALSE,TRUE,"MIGRATED"
"preprocessing","extract_protigy_contrasts","analysis/preprocessing/extract_protigy_contrasts.R","results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv | results/preprocessing/extract_protigy_contrasts/<dataset>/tables/reverse/*.csv | results/preprocessing/extract_protigy_contrasts/<dataset>/manifests/indexComparisons.csv",4,"results/preprocessing/extract_protigy_contrasts/","results/preprocessing/extract_protigy_contrasts/",4,0,FALSE,TRUE,"MIGRATED"
"publication_source_data","08_export_manuscript_figures","analysis/publication_source_data/08_export_manuscript_figures.R","results/manuscript/figure_1/ | results/manuscript/figure_2/ | results/manuscript/figure_3/",6,"results/publication_source_data/08_export_manuscript_figures/","results/publication_source_data/08_export_manuscript_figures/",1,0,FALSE,TRUE,"MIGRATED"
"publication_source_data","09_export_source_data","analysis/publication_source_data/09_export_source_data.R","results/manuscript/source_data/ | results/manuscript/supplementary_tables/ | results/manuscript/source_data_export_manifest.csv",3,"results/publication_source_data/09_export_source_data/","results/publication_source_data/09_export_source_data/",1,0,FALSE,TRUE,"MIGRATED"
